Joint,OutputCase,CaseType,StepType,StepNum,U1,U2,U3,R1,R2,R3
,,,,,ft,ft,ft,Radians,Radians,Radians
2,Envelope,Combination,Min,,0.005456,0,-0.000054,0,0.003212,0
2,DEAD2,Combination,,,0.000228,0,-2.56E-06,0,0.000135,0
2,LCB7,Combination,,,0.005574,0,-0.000038,0,0.00328,0
2,LCB8,Combination,,,0.005456,0,-0.000038,0,0.003212,0
2,LCB9,Combination,,,0.005947,0,-0.000043,0,0.003505,0
2,LCB10,Combination,,,0.005664,0,-0.000042,0,0.003342,0
2,LCB11,Combination,,,0.006256,0,-0.000049,0,0.003698,0
2,LCB12,Combination,,,0.005647,0,-0.000051,0,0.003354,0
3,MODAL,LinModal,Mode,1,-7.29E-19,-0.989808,1.20E-18,0.565604,3.53E-18,-8.36E-14
3,MODAL,LinModal,Mode,2,-7.26E-18,1.468091,-1.75E-18,-0.843105,-8.04E-18,0.39997
3,MODAL,LinModal,Mode,3,-4.16E-17,-1.241361,-1.36E-18,0.676402,-5.31E-18,0.00812
3,MODAL,LinModal,Mode,4,0.485045,-4.77E-17,-0.002664,4.63E-17,-0.135807,-2.44E-16
3,MODAL,LinModal,Mode,5,-4.28E-16,1.744781,-4.18E-17,-0.966221,-1.98E-16,0.718429
3,MODAL,LinModal,Mode,6,-0.633112,-1.30E-16,-0.003549,-2.64E-15,-0.147307,-1.93E-15
3,MODAL,LinModal,Mode,7,-2.69E-14,-0.039658,3.72E-15,-0.131377,1.69E-14,0.354015
3,MODAL,LinModal,Mode,8,-2.11E-12,1.521196,-4.54E-14,-0.73121,-1.27E-13,0.939028
3,MODAL,LinModal,Mode,9,-6.59E-11,-0.320554,-5.99E-12,0.45398,-2.42E-11,-0.54072
3,MODAL,LinModal,Mode,10,0.045082,-2.44E-10,0.019743,6.74E-10,0.285534,-1.48E-10
3,MODAL,LinModal,Mode,11,-1.23E-09,-1.25933,1.19E-10,0.494791,5.50E-10,-1.229406
3,MODAL,LinModal,Mode,12,-3.96E-08,0.027833,-7.53E-09,-0.451908,-3.12E-08,0.082887
3,LC_2,LinStatic,,,0.004652,0,-0.000088,0,-0.004592,0
3,LC_3,LinStatic,,,0.004854,0,-0.000089,0,-0.004798,0
3,LC_4,LinStatic,,,0.004445,0,-0.0001,0,-0.004808,0
3,LC_5,LinStatic,,,0.00459,0,-0.0001,0,-0.005031,0
3,LC_6,LinStatic,,,0.004246,0,-0.000109,0,-0.004978,0
3,LC_2_1450,LinStatic,,,0,0,0,0,0,0
3,LC_1_1450,LinStatic,,,0,0,0,0,0,0
3,LC_3_1450,LinStatic,,,0,0,0,0,0,0
3,LC_4_1450,LinStatic,,,0,0,0,0,0,0
3,LC_5_1450,LinStatic,,,0,0,0,0,0,0
3,LC_6_1450,LinStatic,,,0,0,0,0,0,0
3,LC_7_1450,LinStatic,,,0.002843,0,-0.000052,0,-0.002964,0
3,LC_8_1450,LinStatic,,,0.001543,0,-0.000078,0,-0.002757,0
3,LC_9_1450,LinStatic,,,0.001929,0,-0.000072,0,-0.002987,0
3,LC_10_1450,LinStatic,,,0.001738,0,-0.000075,0,-0.002892,0
3,LC_11_1450,LinStatic,,,0.002288,0,-0.000065,0,-0.003085,0
3,LC_12_1450,LinStatic,,,0.002113,0,-0.000069,0,-0.003051,0
3,LC2_2_1150,LinStatic,,,0.001702,0,-0.000055,0,-0.002447,0
3,LC2_3_1150,LinStatic,,,0.001841,0,-0.000053,0,-0.002475,0
3,LC2_4_1150,LinStatic,,,0.001404,0,-0.00006,0,-0.002321,0
3,LC2_5_1150,LinStatic,,,0.001556,0,-0.000058,0,-0.002397,0
3,LC2_6_1150,LinStatic,,,0.001249,0,-0.000063,0,-0.002214,0
3,LC2_7_1150,LinStatic,,,0.001094,0,-0.000065,0,-0.002073,0
